fecha,ticker,retorno
2025-09-22,AAPL,0.021064376707200027
2025-09-22,GOOGL,-0.00797047257094133
2025-09-22,MSFT,0.0059469261700600875
2025-09-23,AAPL,0.009992939074415607
2025-09-23,GOOGL,0.006564024847114986
2025-09-23,MSFT,-0.0010918677413722603
2025-09-24,AAPL,0.023172829961584082
2025-09-24,GOOGL,-9.198855761964632e-4
2025-09-24,MSFT,0.030776355708155626
2025-09-25,AAPL,-4.407114857863148e-4
2025-09-25,GOOGL,0.02007304481335228
2025-09-25,MSFT,0.0347996808905166
2025-09-26,AAPL,-0.020332910516685086
2025-09-26,GOOGL,-0.0036818315022605704
2025-09-26,MSFT,-0.0014998200459048704
2025-09-29,AAPL,0.010039255971051115
2025-09-29,GOOGL,-0.0037637938212410856
2025-09-29,MSFT,-0.03934683131357163
2025-09-30,AAPL,-0.03610700392863279
2025-09-30,GOOGL,0.02030170018595288
2025-09-30,MSFT,-0.004099578911177118
2025-10-01,AAPL,-0.0262196265097
2025-10-01,GOOGL,-0.00207876033639432
2025-10-01,MSFT,0.01872012048758898
2025-10-02,AAPL,0.02892790191897448
2025-10-02,GOOGL,-0.005957036974092994
2025-10-02,MSFT,-0.0033590407415339443
2025-10-03,AAPL,-0.025947446277921702
2025-10-03,GOOGL,0.007401460322469071
2025-10-03,MSFT,-0.009099923139401786
2025-10-06,AAPL,0.007331751848618289
2025-10-06,GOOGL,0.011072560058432287
2025-10-06,MSFT,0.016026552829548832
2025-10-07,AAPL,-0.008633895631108165
2025-10-07,GOOGL,0.008074326849469555
2025-10-07,MSFT,-0.025255130186100136
2025-10-08,AAPL,-0.01126688512569244
2025-10-08,GOOGL,-0.012263613912647773
2025-10-08,MSFT,-0.03571311474919948
2025-10-09,AAPL,0.0010418391033838346
2025-10-09,GOOGL,0.0035899790030038074
2025-10-09,MSFT,-0.004915859478229994
2025-10-10,AAPL,0.011872448535492753
2025-10-10,GOOGL,-0.010400572406148627
2025-10-10,MSFT,-0.020024215666289417
2025-10-13,AAPL,0.0069922703883307565
2025-10-13,GOOGL,-0.011670897642800073
2025-10-13,MSFT,0.02216151892581879
2025-10-14,AAPL,-0.0059716930392001814
2025-10-14,GOOGL,0.010334718251033102
2025-10-14,MSFT,0.005328878978059198
2025-10-15,AAPL,-0.01125758411320563
2025-10-15,GOOGL,0.02413591279687966
2025-10-15,MSFT,0.010143489585759745
2025-10-16,AAPL,0.001846409698994085
2025-10-16,GOOGL,0.004648261209371944
2025-10-16,MSFT,0.010689332240829063
2025-10-17,AAPL,0.0018474932986862255
2025-10-17,GOOGL,-0.04439635124729402
2025-10-17,MSFT,0.004773244302959891
2025-10-20,AAPL,-0.00500851964111463
2025-10-20,GOOGL,0.00327845847298414
2025-10-20,MSFT,0.0092273559104826
2025-10-21,AAPL,0.021496052409390173
2025-10-21,GOOGL,-0.010409380892116975
2025-10-21,MSFT,0.020038139480662156
